h_id,hotel_name,dateAdded,dateUpdated,Price per night($),no.of.reserved rooms,totalAmount
2807,Super 8-el Centro,2015-10-21T17:46:19Z,2018-06-22T18:21:43Z,98,1,98
2808,Westchester Hotel,2015-10-21T17:39:56Z,2018-06-22T18:21:00Z,86.25,2,172.5
2809,Americas Best Value Inn-rialto,2016-05-19T13:51:15Z,2018-06-22T18:20:52Z,75,2,150
2810,Hotel Sausalito,2015-10-23T03:13:19Z,2018-06-22T18:20:40Z,73.75,2,147.5
2811,Hotel Sausalito,2015-10-23T03:13:19Z,2018-06-22T18:20:40Z,76.25,3,228.75
2812,Hotel Sausalito,2015-10-23T03:13:19Z,2018-06-22T18:20:40Z,75,2,150
2813,Hotel Sausalito,2015-10-23T03:13:19Z,2018-06-22T18:20:40Z,75,2,150
2814,Hotel Sausalito,2015-10-23T03:13:19Z,2018-06-22T18:20:40Z,80,5,400
2815,Hotel Sausalito,2015-10-23T03:13:19Z,2018-06-22T18:20:40Z,102.5,3,307.5
2816,Hotel Sausalito,2015-10-23T03:13:19Z,2018-06-22T18:20:40Z,128.75,2,257.5
2817,Best Western Inn At Palm Springs,2017-12-22T21:02:53Z,2018-06-22T18:20:26Z,148.75,3,446.25
2818,Best Western-valencia Inn,2015-10-21T17:43:01Z,2018-06-22T18:19:53Z,166.6667,3,500.0001
2819,Best Western-valencia Inn,2015-10-21T17:43:01Z,2018-06-22T18:19:53Z,186.6667,3,560.0001
2820,Best Western-valencia Inn,2015-10-21T17:43:01Z,2018-06-22T18:19:53Z,222,2,444
2821,Best Western-valencia Inn,2015-10-21T17:43:01Z,2018-06-22T18:19:53Z,243.75,3,731.25
2822,Best Western Plus Hotel At The Convention Center,2015-12-01T19:33:20Z,2018-06-22T18:19:51Z,236.25,2,472.5
2823,Best Western Plus Hotel At The Convention Center,2015-12-01T19:33:20Z,2018-06-22T18:19:51Z,215,5,1075
2824,Best Western Plus Hotel At The Convention Center,2015-12-01T19:33:20Z,2018-06-22T18:19:51Z,200,3,600
2825,Best Western Plus Hotel At The Convention Center,2015-12-01T19:33:20Z,2018-06-22T18:19:51Z,160,3,480
2826,Best Western Plus Hotel At The Convention Center,2015-12-01T19:33:20Z,2018-06-22T18:19:51Z,116,3,348
2827,Best Western Plus Hotel At The Convention Center,2015-12-01T19:33:20Z,2018-06-22T18:19:51Z,115,4,460
2828,Best Western Plus Hotel At The Convention Center,2015-12-01T19:33:20Z,2018-06-22T18:19:51Z,116.6667,4,466.6668
2829,Best Western Plus Hotel At The Convention Center,2015-12-01T19:33:20Z,2018-06-22T18:19:51Z,123.5,6,741
2830,Bancroft Hotel,2015-10-23T02:22:43Z,2018-06-22T18:19:15Z,125.625,2,251.25
2831,Rancho Tee Motel,2016-05-05T12:46:34Z,2018-06-22T18:19:13Z,121.875,2,243.75
2832,Desert Inn Motel,2015-10-21T17:46:17Z,2018-06-22T18:18:58Z,116.25,8,930
2833,Desert Inn Motel,2015-10-21T17:46:17Z,2018-06-22T18:18:58Z,84.375,4,337.5
2834,Beach Comber Inn,2016-10-13T13:21:59Z,2018-06-22T18:18:48Z,85.625,4,342.5
2835,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,84,4,336
2836,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,83.75,3,251.25
2837,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,116.25,3,348.75
2838,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,128.75,4,515
2839,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,151.25,3,453.75
2840,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,139,2,278
2841,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,165.4167,3,496.2501
2842,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,193,4,772
2843,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,201.25,1,201.25
2844,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,230,1,230
2845,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,187.5,4,750
2846,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,200,6,1200
2847,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,188,6,1128
2848,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,150,2,300
2849,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,146.6667,2,293.3334
2850,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,142.5,6,855
2851,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,200,4,800
2852,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,176.6667,1,176.6667
2853,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,167.5,4,670
2854,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,160,5,800
2855,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,166.6667,5,833.3335
2856,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,131.25,3,393.75
2857,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,117,2,234
2858,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,120,2,240
2859,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,115,2,230
2860,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,140,2,280
2861,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,135,2,270
2862,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,136.25,4,545
2863,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,147,4,588
2864,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,126.25,2,252.5
2865,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,125,2,250
2866,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,122.5,6,735
2867,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,118,6,708
2868,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,113.75,2,227.5
2869,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,116.25,3,348.75
2870,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,181.1111,2,362.2222
2871,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,145,5,725
2872,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,130,3,390
2873,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,145,5,725
2874,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,142.5,1,142.5
2875,Seacrest Oceanfront Hotel,2016-11-05T00:16:03Z,2018-06-22T18:18:47Z,150,5,750
2876,Lincoln Plaza Hotel,2015-10-21T17:53:27Z,2018-06-22T18:18:43Z,172.5,4,690
2877,Lincoln Plaza Hotel,2015-10-21T17:53:27Z,2018-06-22T18:18:43Z,170,2,340
2878,Lincoln Plaza Hotel,2015-10-21T17:53:27Z,2018-06-22T18:18:43Z,142.5,3,427.5
2879,Lincoln Plaza Hotel,2015-10-21T17:53:27Z,2018-06-22T18:18:43Z,118.3333,3,354.9999
2880,Lincoln Plaza Hotel,2015-10-21T17:53:27Z,2018-06-22T18:18:43Z,130,3,390
2881,Lincoln Plaza Hotel,2015-10-21T17:53:27Z,2018-06-22T18:18:43Z,200,1,200
2882,Lincoln Plaza Hotel,2015-10-21T17:53:27Z,2018-06-22T18:18:43Z,200,4,800
2883,Aztec Hotel,2016-06-14T02:25:56Z,2018-06-22T18:18:31Z,220,3,660
2884,Aztec Hotel,2016-06-14T02:25:56Z,2018-06-22T18:18:31Z,230,3,690
2885,Chariot Inn,2016-11-18T15:51:13Z,2018-06-22T18:17:46Z,260,3,780
2886,Chariot Inn,2016-11-18T15:51:13Z,2018-06-22T18:17:46Z,230,3,690
2887,Pasea Hotel & Spa,2016-03-22T03:37:40Z,2018-06-22T18:17:26Z,230,4,920
2888,Pasea Hotel & Spa,2016-03-22T03:37:40Z,2018-06-22T18:17:26Z,230,2,460
2889,Courtyard by Marriott Scottsdale Salt River,2017-03-30T14:12:01Z,2018-06-16T10:42:12Z,230,3,690
2890,Courtyard by Marriott Scottsdale Salt River,2017-03-30T14:12:01Z,2018-06-16T10:42:12Z,170,5,850
2891,Hampton Inn & Suites St. Louis/South I-55,2017-08-31T10:23:51Z,2018-06-16T10:42:12Z,200,2,400
2892,Hampton Inn & Suites St. Louis/South I-55,2017-08-31T10:23:51Z,2018-06-16T10:42:12Z,205,2,410
2893,Hampton Inn & Suites Palestine,2015-11-07T13:11:10Z,2018-06-16T10:42:12Z,205,4,820
2894,Hampton Inn & Suites Palestine,2015-11-07T13:11:10Z,2018-06-16T10:42:12Z,225,4,900
2895,Hampton Inn & Suites Palestine,2015-11-07T13:11:10Z,2018-06-16T10:42:12Z,260,3,780
2896,Hampton Inn & Suites Palestine,2015-11-07T13:11:10Z,2018-06-16T10:42:12Z,235,3,705
2897,Hampton Inn & Suites Palestine,2015-11-07T13:11:10Z,2018-06-16T10:42:12Z,260,2,520
2898,Hampton Inn & Suites Palestine,2015-11-07T13:11:10Z,2018-06-16T10:42:12Z,285,2,570
2899,Hotel Sutter,2015-10-21T17:40:34Z,2018-06-16T01:56:51Z,260,3,780
2900,Hotel Sutter,2015-10-21T17:40:34Z,2018-06-16T01:56:51Z,287,3,861
2901,Hotel Sutter,2015-10-21T17:40:34Z,2018-06-16T01:56:51Z,230,2,460
2902,Hotel Sutter,2015-10-21T17:40:34Z,2018-06-16T01:56:51Z,225,4,900
2903,The Chocolate Turtle Bed & Breakfast,2017-03-25T18:08:11Z,2018-06-12T21:01:21Z,190,4,760
2904,The Chocolate Turtle Bed & Breakfast,2017-03-25T18:08:11Z,2018-06-12T21:01:21Z,200,4,800
2905,The Chocolate Turtle Bed & Breakfast,2017-03-25T18:08:11Z,2018-06-12T21:01:21Z,225,3,675
2906,The Chocolate Turtle Bed & Breakfast,2017-03-25T18:08:11Z,2018-06-12T21:01:21Z,200,4,800
2907,The Chocolate Turtle Bed & Breakfast,2017-03-25T18:08:11Z,2018-06-12T21:01:21Z,195,4,780
2908,The Chocolate Turtle Bed & Breakfast,2017-03-25T18:08:11Z,2018-06-12T21:01:21Z,195,2,390
2909,The Chocolate Turtle Bed & Breakfast,2017-03-25T18:08:11Z,2018-06-12T21:01:21Z,185,2,370
2910,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,195,3,585
2911,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,205,4,820
2912,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,215,2,430
2913,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,145,4,580
2914,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,145,2,290
2915,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,145,2,290
2916,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,165,4,660
2917,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,215,2,430
2918,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,200,2,400
2919,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,200,3,600
2920,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,230,4,920
2921,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,230,3,690
2922,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,235,4,940
2923,The Varden Hotel,2015-11-02T17:28:48Z,2018-06-04T23:55:51Z,230,3,690
2924,Hotel Del Flores,2016-11-18T15:42:34Z,2018-06-04T23:55:45Z,230,3,690
2925,Hotel Del Flores,2016-11-18T15:42:34Z,2018-06-04T23:55:45Z,170,3,510
2926,Park City Peaks Hotel,2016-04-01T08:47:08Z,2018-06-04T23:55:18Z,145,4,580
2927,American Inn,2017-07-20T04:38:43Z,2018-06-04T23:54:43Z,200,2,400
2928,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,200,2,400
2929,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,200,3,600
2930,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,200,4,800
2931,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,200,3,600
2932,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,200,5,1000
2933,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,200,3,600
2934,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,200,2,400
2935,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,230,3,690
2936,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,515,3,1545
2937,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,535,5,2675
2938,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,650,4,2600
2939,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,705,3,2115
2940,The Charles Hotel,2016-05-10T00:34:29Z,2018-06-04T23:54:17Z,650,2,1300
2941,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,490,4,1960
2942,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,325,2,650
2943,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,380,2,760
2944,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,380,2,760
2945,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,515,3,1545
2946,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,515,5,2575
2947,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,535,5,2675
2948,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,535,2,1070
2949,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,545,4,2180
2950,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,650,2,1300
2951,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,455,3,1365
2952,Hotel Red,2015-10-24T00:16:29Z,2018-06-04T23:54:14Z,380,4,1520
2953,Atlantis Oceanfront Inn,2016-05-19T14:18:47Z,2018-06-04T23:54:10Z,380,5,1900
2954,Atlantis Oceanfront Inn,2016-05-19T14:18:47Z,2018-06-04T23:54:10Z,320,2,640
2955,Atlantis Oceanfront Inn,2016-05-19T14:18:47Z,2018-06-04T23:54:10Z,325,2,650
2956,Atlantis Oceanfront Inn,2016-05-19T14:18:47Z,2018-06-04T23:54:10Z,325,2,650
2957,Atlantis Oceanfront Inn,2016-05-19T14:18:47Z,2018-06-04T23:54:10Z,435,2,870
2958,Atlantis Oceanfront Inn,2016-05-19T14:18:47Z,2018-06-04T23:54:10Z,435,2,870
2959,Atlantis Oceanfront Inn,2016-05-19T14:18:47Z,2018-06-04T23:54:10Z,380,3,1140
2960,Atlantis Oceanfront Inn,2016-05-19T14:18:47Z,2018-06-04T23:54:10Z,380,3,1140
2961,Longwood Inn,2015-10-23T02:51:31Z,2018-06-04T23:54:07Z,310,4,1240
2962,Longwood Inn,2015-10-23T02:51:31Z,2018-06-04T23:54:07Z,435,3,1305
2963,Longwood Inn,2015-10-23T02:51:31Z,2018-06-04T23:54:07Z,385,2,770
2964,Plaza Motel,2015-11-06T11:56:33Z,2018-06-04T23:54:04Z,480,2,960
2965,Lyttleton Inn,2016-05-19T14:23:21Z,2018-06-04T23:53:58Z,435,2,870
2966,Lyttleton Inn,2016-05-19T14:23:21Z,2018-06-04T23:53:58Z,355,4,1420
2967,Lyttleton Inn,2016-05-19T14:23:21Z,2018-06-04T23:53:58Z,320,5,1600
2968,Beverly Garden Suites,2015-10-26T23:07:43Z,2018-06-04T23:53:57Z,305,5,1525
2969,Beverly Garden Suites,2015-10-26T23:07:43Z,2018-06-04T23:53:57Z,335,5,1675
2970,Best Western Springfield West Inn,2015-10-26T23:03:33Z,2018-06-04T23:53:55Z,345,5,1725
2971,Best Western Springfield West Inn,2015-10-26T23:03:33Z,2018-06-04T23:53:55Z,375,3,1125
2972,Best Western Springfield West Inn,2015-10-26T23:03:33Z,2018-06-04T23:53:55Z,380,6,2280
2973,Hampton Inn-seattle/everett,2016-05-19T14:18:08Z,2018-06-04T23:53:38Z,365,2,730
2974,Hampton Inn-seattle/everett,2016-05-19T14:18:08Z,2018-06-04T23:53:38Z,365,5,1825
2975,Hotel Aiken,2015-09-21T07:21:29Z,2018-06-04T23:53:01Z,380,4,1520
2976,Hotel Aiken,2015-09-21T07:21:29Z,2018-06-04T23:53:01Z,375,2,750
2977,Hotel Aiken,2015-09-21T07:21:29Z,2018-06-04T23:53:01Z,350,4,1400
2978,Hotel Aiken,2015-09-21T07:21:29Z,2018-06-04T23:53:01Z,305,4,1220
2979,Hotel Aiken,2015-09-21T07:21:29Z,2018-06-04T23:53:01Z,305,4,1220
2980,Hotel Aiken,2015-09-21T07:21:29Z,2018-06-04T23:53:01Z,360,4,1440
2981,Super 8 Delavan Near Lake Geneva,2016-10-18T03:39:14Z,2018-06-04T23:52:06Z,335,4,1340
2982,Campus Inn Motel,2016-05-31T13:39:36Z,2018-06-04T23:52:01Z,380,3,1140
2983,Comfort Inn,2016-11-08T02:31:57Z,2018-06-04T23:51:56Z,435,4,1740
2984,Admiral Hotel,2015-10-28T16:26:07Z,2018-06-04T23:51:49Z,435,3,1305
2985,Staybridge Suites Omaha 80th And Dodge,2015-11-06T12:00:28Z,2018-06-04T23:51:33Z,460,2,920
2986,Holiday Inn Express & Suites Bethlehem,2017-04-12T03:24:24Z,2018-06-04T23:50:47Z,490,3,1470
2987,Holiday Inn Express & Suites Bethlehem,2017-04-12T03:24:24Z,2018-06-04T23:50:47Z,460,5,2300
2988,Holiday Inn Express & Suites Bethlehem,2017-04-12T03:24:24Z,2018-06-04T23:50:47Z,435,3,1305
2989,Holiday Inn Express & Suites Bethlehem,2017-04-12T03:24:24Z,2018-06-04T23:50:47Z,435,3,1305
2990,Holiday Inn Express & Suites Bethlehem,2017-04-12T03:24:24Z,2018-06-04T23:50:47Z,435,5,2175
2991,Holiday Inn Express & Suites Bethlehem,2017-04-12T03:24:24Z,2018-06-04T23:50:47Z,190,2,380
2992,Holiday Inn Express & Suites Bethlehem,2017-04-12T03:24:24Z,2018-06-04T23:50:47Z,190,2,380
2993,Quality Inn,2015-12-01T15:14:56Z,2018-06-04T23:50:26Z,210,2,420
2994,Best Western Riverview Inn & Suites,2016-10-20T08:58:52Z,2018-06-04T23:49:49Z,230,4,920
2995,Best Western Plus Murray Hill Hotel & Suites,2016-10-29T16:08:50Z,2018-06-04T23:49:49Z,240,2,480
2996,Red Roof Inn Cleveland-medina,2016-07-20T20:53:44Z,2018-06-04T23:49:49Z,150,2,300
2997,Red Roof Inn Cleveland-medina,2016-07-20T20:53:44Z,2018-06-04T23:49:49Z,150,4,600
2998,Red Roof Inn Cleveland-medina,2016-07-20T20:53:44Z,2018-06-04T23:49:49Z,150,2,300
2999,Red Roof Inn Cleveland-medina,2016-07-20T20:53:44Z,2018-06-04T23:49:49Z,150,4,600
3000,Red Roof Inn Cleveland-medina,2016-07-20T20:53:44Z,2018-06-04T23:49:49Z,150,4,600
3001,Candlewood Suites Somerset,2016-11-03T02:02:17Z,2018-06-04T23:49:35Z,175,4,700
3002,Candlewood Suites Somerset,2016-11-03T02:02:17Z,2018-06-04T23:49:35Z,200,4,800
3003,Candlewood Suites Somerset,2016-11-03T02:02:17Z,2018-06-04T23:49:35Z,200,7,1400
3004,Candlewood Suites Somerset,2016-11-03T02:02:17Z,2018-06-04T23:49:35Z,200,3,600
3005,Candlewood Suites Somerset,2016-11-03T02:02:17Z,2018-06-04T23:49:35Z,200,4,800
3006,Best Western Kenosha Inn,2015-11-06T12:27:41Z,2018-06-04T23:49:03Z,200,3,600
3007,Best Western Kenosha Inn,2015-11-06T12:27:41Z,2018-06-04T23:49:03Z,150,3,450
3008,Motel 6 Jaiden & Jiya LLC,2016-06-06T16:16:17Z,2018-06-04T23:48:55Z,150,3,450
3009,Motel 6 Jaiden & Jiya LLC,2016-06-06T16:16:17Z,2018-06-04T23:48:55Z,150,3,450
3010,Beavers Bend Lodging,2016-08-02T21:21:28Z,2018-06-04T23:48:52Z,150,2,300
3011,Comfort Inn,2016-05-16T23:08:36Z,2018-06-04T23:47:43Z,150,5,750
3012,Seven Gables Inn,2016-01-13T04:36:21Z,2018-06-04T23:47:23Z,160,5,800
3013,Seven Gables Inn,2016-01-13T04:36:21Z,2018-06-04T23:47:23Z,150,4,600
3014,Seven Gables Inn,2016-01-13T04:36:21Z,2018-06-04T23:47:23Z,165,2,330
3015,Seven Gables Inn,2016-01-13T04:36:21Z,2018-06-04T23:47:23Z,200,2,400
3016,Aloft Durham Downtown,2015-11-06T11:39:04Z,2018-06-04T23:47:22Z,165,3,495
3017,Aloft Durham Downtown,2015-11-06T11:39:04Z,2018-06-04T23:47:22Z,160,1,160
3018,Carter Lodge,2015-09-28T05:44:59Z,2018-06-04T23:47:16Z,145,2,290
3019,Comfort Suites Outlet Center,2016-11-04T00:38:58Z,2018-06-04T23:47:13Z,135,2,270
3020,Comfort Suites Outlet Center,2016-11-04T00:38:58Z,2018-06-04T23:47:13Z,110,5,550
3021,Comfort Suites Outlet Center,2016-11-04T00:38:58Z,2018-06-04T23:47:13Z,115,4,460
3022,Comfort Suites Outlet Center,2016-11-04T00:38:58Z,2018-06-04T23:47:13Z,120,3,360
3023,Comfort Suites Outlet Center,2016-11-04T00:38:58Z,2018-06-04T23:47:13Z,125,2,250
3024,M -37 Motel,2016-08-25T20:39:56Z,2018-06-04T23:47:02Z,125,3,375
3025,Schleichers Landing,2016-10-26T21:16:06Z,2018-05-28T16:27:16Z,130,2,260
3026,Sleep inn,2016-05-07T23:39:46Z,2018-05-28T16:27:05Z,155,3,465
3027,Microtel Inn Suites by Wyndham Marietta,2016-11-21T15:27:58Z,2018-05-28T16:26:10Z,185,3,555
3028,Microtel Inn Suites by Wyndham Marietta,2016-11-21T15:27:58Z,2018-05-28T16:26:10Z,165,4,660
3029,Microtel Inn Suites by Wyndham Marietta,2016-11-21T15:27:58Z,2018-05-28T16:26:10Z,165,4,660
3030,Microtel Inn Suites by Wyndham Marietta,2016-11-21T15:27:58Z,2018-05-28T16:26:10Z,205,6,1230
3031,Microtel Inn Suites by Wyndham Marietta,2016-11-21T15:27:58Z,2018-05-28T16:26:10Z,210,3,630
3032,Microtel Inn Suites by Wyndham Marietta,2016-11-21T15:27:58Z,2018-05-28T16:26:10Z,200,2,400
3033,Microtel Inn Suites by Wyndham Marietta,2016-11-21T15:27:58Z,2018-05-28T16:26:10Z,165,2,330
3034,Days Inn St. Louis - Lindbergh Boulevard,2016-11-02T01:14:35Z,2018-05-28T16:25:47Z,165,2,330
3035,Days Inn St. Louis - Lindbergh Boulevard,2016-11-02T01:14:35Z,2018-05-28T16:25:47Z,165,2,330
3036,Days Inn St. Louis - Lindbergh Boulevard,2016-11-02T01:14:35Z,2018-05-28T16:25:47Z,125,4,500
3037,Days Inn St. Louis - Lindbergh Boulevard,2016-11-02T01:14:35Z,2018-05-28T16:25:47Z,200,5,1000
3038,Days Inn St. Louis - Lindbergh Boulevard,2016-11-02T01:14:35Z,2018-05-28T16:25:47Z,220,3,660
3039,Days Inn St. Louis - Lindbergh Boulevard,2016-11-02T01:14:35Z,2018-05-28T16:25:47Z,190,4,760
3040,Quality Inn,2016-05-06T03:33:16Z,2018-05-28T16:25:47Z,220,4,880
3041,America's Best Inn Suites,2015-10-23T02:59:51Z,2018-05-28T16:25:46Z,220,4,880
3042,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,220,2,440
3043,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,220,2,440
3044,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,210,1,210
3045,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,135,2,270
3046,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,145,4,580
3047,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,116,4,464
3048,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,120,4,480
3049,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,113.75,4,455
3050,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,115,2,230
3051,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,106,2,212
3052,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,98.75,2,197.5
3053,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,94,3,282
3054,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,92.5,2,185
3055,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,88.75,2,177.5
3056,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,81,2,162
3057,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,81.25,8,650
3058,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,78.75,2,157.5
3059,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,116.25,2,232.5
3060,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,141.25,3,423.75
3061,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,167.5,3,502.5
3062,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,173.3333,3,519.9999
3063,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,176.6667,3,530.0001
3064,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,218,3,654
3065,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,270,3,810
3066,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,237.5,4,950
3067,InterContinental San Francisco,2017-01-28T04:53:07Z,2018-05-28T16:24:47Z,135,3,405
